Date,Region,stock_nappe,precip_tot,T2M,surf_agri,prelev_agri_pct,prelev_dom_pct,prelev_ind_pct,press_ress_int,prelev_total_bm3,indice_stress,croiss_pop,ress_capita,indice_aridite
2017-02-01,Loukkos,57.2570791,96.57,11.6,310023.208821918,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19213038017622,817.374208192775,4.47083333333333
2017-03-01,Loukkos,61.41679955,43.78,13.16,309623.736273973,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1847122010682,816.685357556782,1.89032815198618
2017-04-01,Loukkos,55.46916675,41.83,17.33,309181.46309589,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.17649921705576,815.922701495503,1.53055250640322
2017-05-01,Loukkos,49.19280852,28.74,20.93,308753.456794521,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.16855116801145,815.184647242652,0.929194956353055
2017-06-01,Loukkos,48.56353855,0.15,27.14,308311.183616438,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.160338183999,814.421991181373,0.00403877221324717
2017-07-01,Loukkos,40.0333641,0.8,28.11,307883.177315069,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1523901349547,813.683936928523,0.0209918656520598
2017-08-01,Loukkos,27.076644425,6.56,29.52,307440.904136986,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.14417715094225,812.921280867244,0.165991902834008
2017-09-01,Loukkos,20.2862234,2.56,24.65,306998.630958904,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1359641669298,812.158624805965,0.0738816738816739
2017-10-01,Loukkos,14.73697244,48.09,22.9,306570.624657534,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1280161178855,811.420570553115,1.46170212765957
2017-11-01,Loukkos,10.067573195,66.55,15.25,306128.351479452,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.11980313387305,810.657914491836,2.63564356435644
2017-12-01,Loukkos,5.2570620775,82.12,9.89,305700.345178082,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.11185508482875,809.919860238986,4.12870789341378
2018-01-01,Loukkos,6.372970484,110.31,9.65,305258.072,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1036421008163,809.157204177707,5.61374045801527
2018-02-01,Loukkos,12.6799199725,75.13,9.25,304481.882789041,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.09740651948518,808.452839023905,3.90285714285714
2018-03-01,Loukkos,61.63173915,445.77,11.85,303780.808663014,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.09177438150868,807.816638239825,20.4013729977117
2018-04-01,Loukkos,92.62720794,145.74,14.2,303004.619452055,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.08553880017756,807.112273086023,6.02231404958678
2018-05-01,Loukkos,94.637084975,19.51,16.36,302253.46860274,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.07950436663132,806.430629388795,0.740136570561457
2018-06-01,Loukkos,95.00671195,1.91,20.93,301477.279391781,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.0732687853002,805.726264234992,0.0617523440025865
2018-07-01,Loukkos,94.9328293,0.15,24.42,300726.128542466,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.06723435175395,805.044620537764,0.00435793143521209
2018-08-01,Loukkos,89.960567475,0.28,29.52,299949.939331507,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.06099877042283,804.340255383962,0.00708502024291498
2018-09-01,Loukkos,77.7748623,13.51,25.71,299173.750120548,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.05476318909171,803.63589023016,0.378325399047886
